PRODUCTID	PRODUCTNAME	PRODUCTGROUPCODE	PRODUCTGROUPNAME	INSTOCKFLAG	FULLPRICE
10001		CA	CALENDAR	N	15
10002		CA	CALENDAR	N	10
10003		CA	CALENDAR	N	10
10004		BK	BOOK	Y	90
10005		BK	BOOK	Y	16
10006		BK	BOOK	N	10
10007		BK	BOOK	N	7
10008		BK	BOOK	N	11
10009		BK	BOOK	N	10
10010		BK	BOOK	N	19
10011		GA	GAME	N	11
10012		AR	ARTWORK	Y	195
10013		AR	ARTWORK	Y	195
10014		AR	ARTWORK	Y	175
10015		AR	ARTWORK	Y	195
10016		AR	ARTWORK	Y	195
10017		AR	ARTWORK	Y	540
10018		AR	ARTWORK	Y	195
10019		AR	ARTWORK	Y	340
10020		AR	ARTWORK	Y	375
10021		AR	ARTWORK	Y	540
10022		AR	ARTWORK	Y	195
10023		AR	ARTWORK	Y	340
10024		AR	ARTWORK	Y	375
10025		AR	ARTWORK	Y	540
10026		AR	ARTWORK	Y	195
10027		AR	ARTWORK	Y	340
10028		AR	ARTWORK	Y	375
10029		AR	ARTWORK	Y	540
10030		AR	ARTWORK	Y	700
10031		AR	ARTWORK	Y	195
10032		AR	ARTWORK	Y	340
10033		AR	ARTWORK	Y	375
10034		AR	ARTWORK	Y	195
10035		AR	ARTWORK	N	450
10036		AR	ARTWORK	Y	615
10037		AR	ARTWORK	Y	340
10038		AR	ARTWORK	Y	375
10039		AR	ARTWORK	Y	460
10040		AR	ARTWORK	Y	195
10041		AR	ARTWORK	Y	340
10042		AR	ARTWORK	Y	333
10043		AR	ARTWORK	Y	540
10044		AR	ARTWORK	Y	195
10045		AR	ARTWORK	Y	340
10046		AR	ARTWORK	Y	375
10047		AR	ARTWORK	Y	513
10048		AR	ARTWORK	Y	195
10049		AR	ARTWORK	Y	340
10050		AR	ARTWORK	Y	375
10051		AR	ARTWORK	Y	540
10052		AR	ARTWORK	Y	195
10053		AR	ARTWORK	Y	322
10054		AR	ARTWORK	Y	375
10055		AR	ARTWORK	Y	195
